method,budget,n,mean_final_average_accuracy,std_final_average_accuracy,mean_average_forgetting,std_average_forgetting,mean_runtime_seconds,std_runtime_seconds
class_balanced_replay,16,10,0.6255971188537464,0.018827457026746184,0.024985294301986736,0.01790965469249149,12.272536683082581,1.4954143231843668
class_balanced_replay,64,10,0.6523545580658934,0.01997588710639676,0.021670613379226537,0.02064935612982274,13.065704131126404,1.6775087113855431
class_balanced_replay,256,10,0.6773867368613736,0.01647371350265837,0.013546869654149262,0.016310130769110934,15.951137661933899,1.7523597356432548
hard_example_replay,16,10,0.5364631722499469,0.0436532786931397,0.12711221475277837,0.05224681180064143,14.579410672187805,1.479209688164155
hard_example_replay,64,10,0.5349980727286402,0.047964031982967274,0.14408223079770416,0.0658135046308924,14.975606727600098,1.5594370817403045
hard_example_replay,256,10,0.6385873149321778,0.049710269084152325,0.055684524204537414,0.05473568858332886,18.713128161430358,1.5114851956865174
no_replay,0,10,0.6449555953360586,0.015209921245029238,0.012889523570408918,0.012793157766800092,11.752009415626526,1.8723411472148408
random_replay,16,10,0.6006182338120266,0.043631552914213535,0.05252785464742454,0.037137265438863934,11.683758211135864,1.3397115316298984
random_replay,64,10,0.6534916585372867,0.03813055435103922,0.0249354212014228,0.02646402525560786,12.86255784034729,1.4602024607664692
random_replay,256,10,0.6695965788306524,0.017636525758267727,0.017445547901772027,0.014722457349388499,15.304642033576965,1.9462088330170626
