cell_id,order_name,seed,method,budget,final_average_accuracy,average_forgetting,total_wall_time_seconds,peak_gpu_memory_mb,max_rss_mb,sst2,mrpc,rte,ag_news
cell_001_O1_seed113_no_replay_b0,O1,113,no_replay,0,0.6348676915768563,0.03896378610108303,7.226217269897461,531.19140625,1799.0,0.61328125,0.6568627450980392,0.4548736462093863,0.814453125
cell_002_O1_seed113_random_replay_b16,O1,113,random_replay,16,0.6469930833908473,0.018880208333333332,8.176014184951782,534.7294921875,2089.5625,0.6484375,0.6838235294117647,0.5018050541516246,0.75390625
cell_003_O1_seed113_random_replay_b64,O1,113,random_replay,64,0.6730686570374991,0.01335273692810457,7.594409227371216,534.70556640625,2111.3203125,0.744140625,0.6740196078431373,0.5631768953068592,0.7109375
cell_004_O1_seed113_random_replay_b256,O1,113,random_replay,256,0.6961282376499788,0.0038075361010830124,9.671112060546875,534.62744140625,2112.6484375,0.814453125,0.6764705882352942,0.516245487364621,0.77734375
cell_005_O1_seed113_class_balanced_replay_b16,O1,113,class_balanced_replay,16,0.638802664003327,0.027611825980392173,7.030743598937988,534.7294921875,2114.5546875,0.798828125,0.5612745098039216,0.4548736462093863,0.740234375
cell_006_O1_seed113_class_balanced_replay_b64,O1,113,class_balanced_replay,64,0.650414854146758,0.012254901960784345,7.3150763511657715,534.70556640625,2114.76953125,0.822265625,0.6078431372549019,0.48014440433212996,0.69140625
cell_007_O1_seed113_class_balanced_replay_b256,O1,113,class_balanced_replay,256,0.6610262872071211,0.04411764705882354,9.183151960372925,534.76416015625,2117.921875,0.8203125,0.49019607843137253,0.5523465703971119,0.78125
cell_008_O1_seed113_hard_example_replay_b16,O1,113,hard_example_replay,16,0.5986232729215333,0.068359375,8.53101134300232,534.64208984375,2117.921875,0.5,0.6838235294117647,0.5270758122743683,0.68359375
cell_009_O1_seed113_hard_example_replay_b64,O1,113,hard_example_replay,64,0.6015529604215333,0.068359375,10.444018125534058,534.7275390625,2117.921875,0.5,0.6838235294117647,0.5270758122743683,0.6953125
cell_010_O1_seed113_hard_example_replay_b256,O1,113,hard_example_replay,256,0.5791206762206236,0.11581057475637668,11.13815450668335,534.6181640625,2117.921875,0.78125,0.32598039215686275,0.4729241877256318,0.736328125
cell_011_O1_seed227_no_replay_b0,O1,227,no_replay,0,0.6506791972486197,0.032232945261437905,6.885602712631226,534.673828125,2119.66796875,0.65234375,0.5955882352941176,0.555956678700361,0.798828125
cell_012_O1_seed227_random_replay_b16,O1,227,random_replay,16,0.6146874391679054,0.053385416666666664,8.279124736785889,534.69921875,2121.3984375,0.50390625,0.6642156862745098,0.5523465703971119,0.73828125
cell_013_O1_seed227_random_replay_b64,O1,227,random_replay,64,0.6864424202104127,0.016726245251409828,7.506035089492798,534.7421875,2121.66796875,0.822265625,0.6372549019607843,0.5342960288808665,0.751953125
cell_014_O1_seed227_random_replay_b256,O1,227,random_replay,256,0.7216325080630176,0.0,9.342947244644165,534.7421875,2121.66796875,0.845703125,0.6985294117647058,0.5415162454873647,0.80078125
cell_015_O1_seed227_class_balanced_replay_b16,O1,227,class_balanced_replay,16,0.6405044418489417,0.008266113868832728,8.029527425765991,534.69921875,2121.66796875,0.76953125,0.5024509803921569,0.5595667870036101,0.73046875
cell_016_O1_seed227_class_balanced_replay_b64,O1,227,class_balanced_replay,64,0.6717806065623452,0.0,7.442317008972168,534.7119140625,2121.66796875,0.802734375,0.5784313725490197,0.555956678700361,0.75
cell_017_O1_seed227_class_balanced_replay_b256,O1,227,class_balanced_replay,256,0.6714819071525271,0.017271752450980376,9.524571657180786,534.7275390625,2121.66796875,0.80078125,0.5,0.5667870036101083,0.818359375
cell_018_O1_seed227_hard_example_replay_b16,O1,227,hard_example_replay,16,0.5175876645784667,0.17890295031971873,10.399928331375122,534.59765625,2121.66796875,0.5,0.3161764705882353,0.4729241877256318,0.78125
cell_019_O1_seed227_hard_example_replay_b64,O1,227,hard_example_replay,64,0.5195407895784667,0.18741501940728159,10.856459140777588,534.67041015625,2123.203125,0.5,0.3161764705882353,0.4729241877256318,0.7890625
cell_020_O1_seed227_hard_example_replay_b256,O1,227,hard_example_replay,256,0.5943314995221916,0.0954112692008211,12.389223575592041,534.76416015625,2123.203125,0.75390625,0.3382352941176471,0.5234657039711191,0.76171875
cell_021_O1_seed349_no_replay_b0,O1,349,no_replay,0,0.5943065791016316,0.00967119699865504,9.20407223701477,534.580078125,2123.28125,0.720703125,0.48284313725490197,0.5018050541516246,0.671875
cell_022_O1_seed349_random_replay_b16,O1,349,random_replay,16,0.6339001156362816,0.013020833333333334,7.202118396759033,534.6044921875,2123.28125,0.69921875,0.625,0.49458483754512633,0.716796875
cell_023_O1_seed349_random_replay_b64,O1,349,random_replay,64,0.6546727896934947,0.017156862745098016,7.479642152786255,534.5712890625,2123.6484375,0.8125,0.6421568627450981,0.47653429602888087,0.6875
cell_024_O1_seed349_random_replay_b256,O1,349,random_replay,256,0.6624552538468005,0.04776019914584364,11.046693325042725,534.6875,2123.6484375,0.8203125,0.6299019607843137,0.44765342960288806,0.751953125
cell_025_O1_seed349_class_balanced_replay_b16,O1,349,class_balanced_replay,16,0.6583639498500212,0.0024067388688327287,6.8334314823150635,534.6044921875,2125.45703125,0.763671875,0.6985294117647058,0.48375451263537905,0.6875
cell_026_O1_seed349_class_balanced_replay_b64,O1,349,class_balanced_replay,64,0.6343699053120797,0.024509803921568613,7.332090377807617,534.58056640625,2125.45703125,0.787109375,0.5343137254901961,0.5090252707581228,0.70703125
cell_027_O1_seed349_class_balanced_replay_b256,O1,349,class_balanced_replay,256,0.6923222569149501,0.029539419934640525,10.473392486572266,534.65478515625,2125.45703125,0.802734375,0.6397058823529411,0.5631768953068592,0.763671875
cell_028_O1_seed349_hard_example_replay_b16,O1,349,hard_example_replay,16,0.5904564605343492,0.08209429417073687,8.402894973754883,534.6171875,2125.45703125,0.5,0.6838235294117647,0.4729241877256318,0.705078125
cell_029_O1_seed349_hard_example_replay_b64,O1,349,hard_example_replay,64,0.4764380707156509,0.19549121732026145,9.18073320388794,534.3203125,2125.45703125,0.5,0.3161764705882353,0.5270758122743683,0.5625
cell_030_O1_seed349_hard_example_replay_b256,O1,349,hard_example_replay,256,0.6669826479215333,0.0,13.023268222808838,534.6171875,2125.5078125,0.734375,0.6838235294117647,0.5270758122743683,0.72265625
cell_031_O2_seed113_no_replay_b0,O2,113,no_replay,0,0.6219700777987187,0.0036101083032490933,6.507614374160767,534.673828125,2125.5078125,0.7109375,0.4803921568627451,0.48014440433212996,0.81640625
cell_032_O2_seed113_random_replay_b16,O2,113,random_replay,16,0.6446333857042366,0.0,6.604347229003906,534.5576171875,2125.5078125,0.5625,0.6691176470588235,0.5090252707581228,0.837890625
cell_033_O2_seed113_random_replay_b64,O2,113,random_replay,64,0.6379289976087457,0.02205882352941178,7.2910943031311035,534.71044921875,2125.5078125,0.669921875,0.49019607843137253,0.5595667870036101,0.83203125
cell_034_O2_seed113_random_replay_b256,O2,113,random_replay,256,0.6748493783512954,0.011437908496732022,10.767459869384766,534.7294921875,2125.5078125,0.69140625,0.6102941176470589,0.5090252707581228,0.888671875
cell_035_O2_seed113_class_balanced_replay_b16,O2,113,class_balanced_replay,16,0.5937084544445035,0.05692409334371532,6.704098701477051,534.6533203125,2125.5078125,0.560546875,0.5098039215686274,0.4548736462093863,0.849609375
cell_036_O2_seed113_class_balanced_replay_b64,O2,113,class_balanced_replay,64,0.638625214018369,0.02286401925391096,7.301033020019531,534.681640625,2125.5078125,0.626953125,0.6029411764705882,0.44765342960288806,0.876953125
cell_037_O2_seed113_class_balanced_replay_b256,O2,113,class_balanced_replay,256,0.6294494529535641,0.07733694786578894,10.873434782028198,534.71044921875,2125.5078125,0.697265625,0.42401960784313725,0.5234657039711191,0.873046875
cell_038_O2_seed113_hard_example_replay_b16,O2,113,hard_example_replay,16,0.5391678501274156,0.185546875,8.527534008026123,534.6435546875,2126.53125,0.703125,0.6764705882352942,0.5270758122743683,0.25
cell_039_O2_seed113_hard_example_replay_b64,O2,113,hard_example_replay,64,0.5212354818676117,0.14553972630718956,8.80324649810791,534.71728515625,2126.53515625,0.599609375,0.3137254901960784,0.5270758122743683,0.64453125
cell_040_O2_seed113_hard_example_replay_b256,O2,113,hard_example_replay,256,0.573996678291127,0.11366421568627454,12.282162427902222,534.5888671875,2126.78515625,0.6796875,0.31862745098039214,0.5379061371841155,0.759765625
