backbone,model_name,cell_id,order_name,task_sequence,seed,method,budget,status,total_wall_time_seconds,resumed
DistilBERT,distilbert-base-uncased,cell_033_O1_seed461_random_replay_b64,O1,sst2/mrpc/rte/ag_news,461,random_replay,64,PASS,9.005576848983765,False
DistilBERT,distilbert-base-uncased,cell_034_O1_seed461_random_replay_b256,O1,sst2/mrpc/rte/ag_news,461,random_replay,256,PASS,10.197858572006226,False
DistilBERT,distilbert-base-uncased,cell_035_O1_seed461_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,16,PASS,11.082335710525513,False
DistilBERT,distilbert-base-uncased,cell_036_O1_seed461_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,64,PASS,8.496326208114624,False
DistilBERT,distilbert-base-uncased,cell_037_O1_seed461_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,461,class_balanced_replay,256,PASS,10.249650001525879,False
DistilBERT,distilbert-base-uncased,cell_038_O1_seed461_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,16,PASS,9.511848211288452,False
DistilBERT,distilbert-base-uncased,cell_039_O1_seed461_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,64,PASS,12.911429643630981,False
DistilBERT,distilbert-base-uncased,cell_040_O1_seed461_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,461,hard_example_replay,256,PASS,11.790073156356812,False
DistilBERT,distilbert-base-uncased,cell_041_O1_seed587_no_replay_b0,O1,sst2/mrpc/rte/ag_news,587,no_replay,0,PASS,7.817251920700073,False
DistilBERT,distilbert-base-uncased,cell_042_O1_seed587_random_replay_b16,O1,sst2/mrpc/rte/ag_news,587,random_replay,16,PASS,11.053856134414673,False
DistilBERT,distilbert-base-uncased,cell_043_O1_seed587_random_replay_b64,O1,sst2/mrpc/rte/ag_news,587,random_replay,64,PASS,8.423578023910522,False
DistilBERT,distilbert-base-uncased,cell_044_O1_seed587_random_replay_b256,O1,sst2/mrpc/rte/ag_news,587,random_replay,256,PASS,10.143397331237793,False
DistilBERT,distilbert-base-uncased,cell_045_O1_seed587_class_balanced_replay_b16,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,16,PASS,7.991781234741211,False
DistilBERT,distilbert-base-uncased,cell_046_O1_seed587_class_balanced_replay_b64,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,64,PASS,11.336509943008423,False
DistilBERT,distilbert-base-uncased,cell_047_O1_seed587_class_balanced_replay_b256,O1,sst2/mrpc/rte/ag_news,587,class_balanced_replay,256,PASS,10.083201885223389,False
DistilBERT,distilbert-base-uncased,cell_048_O1_seed587_hard_example_replay_b16,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,16,PASS,9.495748519897461,False
DistilBERT,distilbert-base-uncased,cell_049_O1_seed587_hard_example_replay_b64,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,64,PASS,13.055928707122803,False
DistilBERT,distilbert-base-uncased,cell_050_O1_seed587_hard_example_replay_b256,O1,sst2/mrpc/rte/ag_news,587,hard_example_replay,256,PASS,11.852092504501343,False
DistilBERT,distilbert-base-uncased,cell_051_O2_seed113_no_replay_b0,O2,ag_news/rte/mrpc/sst2,113,no_replay,0,PASS,7.791890621185303,False
DistilBERT,distilbert-base-uncased,cell_052_O2_seed113_random_replay_b16,O2,ag_news/rte/mrpc/sst2,113,random_replay,16,PASS,7.931705951690674,False
DistilBERT,distilbert-base-uncased,cell_053_O2_seed113_random_replay_b64,O2,ag_news/rte/mrpc/sst2,113,random_replay,64,PASS,11.366612195968628,False
DistilBERT,distilbert-base-uncased,cell_054_O2_seed113_random_replay_b256,O2,ag_news/rte/mrpc/sst2,113,random_replay,256,PASS,10.096458911895752,False
